car_vin,car_make,car_model,car_year,car_color,car_price,car_mileage,car_condition,car_owner,car_location
WAUKF98E86A042105,Pontiac,Daewoo Kalos,2006,green,190786.78,492822,fair,Gradeigh Loveard,8015 Schlimgen Lane
ML32A3HJ4FH011889,Mazda,Mazda3,2004,red,335812.95,106441,fair,Concordia Foxwell,83805 Fordem Alley
2C4RDGCG0ER427737,Maserati,,1986,green,646066.28,270114,excellent,Muhammad Byrch,
1N6AA0CCXAN815041,Maybach,62,2004,green,374676.75,129855,good,Katusha Teodorski,3550 Pleasure Parkway
2HNYD18814H803970,Chevrolet,Suburban 1500,1998,blue,101527.1,121175,excellent,Annabela Heed,8268 Shasta Street
SALVN2BG2EH390310,Maserati,GranSport,2005,blue,580969.93,303061,poor,Amelita Whiteson,31137 Elgar Way
3GYFNFEY3BS120748,Aston Martin,Rapide,2011,blue,996526.76,226316,excellent,,203 Pepper Wood Crossing
WBAUC7C51AV923663,Kia,Sephia,1998,black,545228.27,353290,good,Borden Boston,635 Melvin Court
19UYA42752A896375,Ford,Focus,2011,red,379398.45,317203,poor,Nettie Edgeworth,7 Claremont Junction
WAUKF78E28A632579,Porsche,Cayenne,2012,white,850065.95,138155,poor,Flory Moloney,7 South Road
WA1MKAFP6AA689344,Nissan,Altima,1995,red,224821.75,438586,fair,Helen-elizabeth Wallworke,98 Gina Road
WAUGU44D43N624637,Mercury,Lynx,1984,black,22874.66,129360,good,Standford O'Lunny,2482 Wayridge Pass
WBAPK5C52BF765138,Porsche,Boxster,2004,white,760277.72,228739,poor,Tova Extal,0 Russell Court
JTHBW1GG2F2379367,Acura,ZDX,2010,white,478846.86,150842,fair,Kriste Aggio,1357 Arapahoe Pass
JTDZN3EU4EJ845327,Mercedes-Benz,300E,1992,red,568260.04,400248,excellent,Evaleen Tuffs,5 Sommers Crossing
1GYEK63N92R232468,Toyota,RAV4,1998,blue,242232.49,205424,poor,Hervey Clitsome,189 Evergreen Drive
3D7TT2HT0AG390518,Dodge,Caravan,1996,white,817625.88,397335,fair,Ann-marie Platfoot,6 Laurel Crossing
1FMEU6DE7AU675642,Mazda,MX-5,1996,blue,885267.7,194103,excellent,Hugibert Phythian,
2B3CA2CV0AH693468,Buick,Hearse,1996,black,6722.1,286866,poor,Elva Marr,991 Everett Plaza
WBA3R1C53FF061734,Toyota,Avalon,2004,green,738987.39,67441,poor,Kip Rubartelli,5051 Springview Center
1GD01ZCG7CF612719,Acura,Legend,1993,black,846753.85,124513,excellent,Skylar Scully,98 Spenser Hill
4T1BF3EK3AU680145,Mitsubishi,Pajero,1999,black,714359.61,237285,good,Jocelyne Darlasson,737 Glacier Hill Junction
WDDUG7JB3FA702280,GMC,Sierra Denali,2006,red,908424.88,174827,fair,Natalee Dighton,8032 Lien Alley
19XFA1E8XAE462389,Nissan,Pathfinder,2006,blue,615091.91,388288,poor,Cassey Fist,
WBANE53517B061204,Hyundai,Santa Fe,2002,black,579338.96,6467,excellent,Silas Ruggles,10 Hintze Point
WBAKB0C55CC656950,Oldsmobile,Aurora,2002,black,575448.85,110673,excellent,Abie Grishunin,9754 Ridge Oak Park
JH4CL96845C606850,Mazda,Protege,2003,red,664010.21,27563,poor,Violette Wehden,
JN8AZ2NC6F9929420,Dodge,Challenger,2012,white,100854.9,148398,good,Marjorie Pelerin,8 Lunder Lane
JN1AY1AP2BM490311,Chevrolet,Astro,1994,red,900764.48,20285,good,Judd Keston,
2FMPK3J9XFB914764,Ford,Aerostar,1995,blue,622103.73,181454,excellent,Reagan Spadazzi,662 Gateway Way
1G6KD57YX9U041122,Dodge,Stratus,1996,blue,360697.01,101251,good,Elfreda Adolfson,965 Redwing Road
JTMHY7AJ4B4271392,Chevrolet,,1977,green,428096.74,88429,poor,Augustus Povele,3 Doe Crossing Center
